"異常Ｑ波","4","01"
"境界域Ｑ波","4","02"
"Ｒ波の増高不良","4","03"
"Ｓ１、Ｓ２、Ｓ３パターン","4","10"
"ＳＴ－Ｔ異常","4","14"
"軽度ＳＴ－Ｔ異常","4","15"
"ＳＴ低下","4","16"
"軽度ＳＴ－Ｔ異常の疑い","4","17"
"陰性Ｔ","4","22"
"陽性Ｔ（Ｖ１）,"4","27"
"房室ブロックＩＩ度（モビッツ）","4","29"
"房室ブロックＩＩ度（２：１）","4","30"
"房室ブロックＩＩ度（ウエンケバッハ,"4","31",）"
"ＰＲ延長","4","32"
"房室ブロックⅠ度","4","33"
"ＷＰＷ症候群","4","34"
"ＷＰＷ症候群の疑い","4","35"
"ＰＲ短縮","4","36"
"ＲＳＲ’パターン","4","42"
"ＳＴ上昇","4","76"
"軽度ＳＴ上昇","4","78"
"高いＴ波","4","83"
"ＱＴ延長","4","86"
"ＱＴ短縮","4","87"
"軽度なＱＴ延長","4","88",
