区分番号,区分名称,順番号,項目コード（17桁）,ＸＭＬ表示名,データタイプ,XMLデータ型（PQ:数値型、CD:大小順序のないコード型、CO：大小順序のあるコード型、ST：文字列型）,文字列換算（全角２バイト、半角１バイト）時の最大バイト長,数値型の場合の形式（数字、ピリオドは小数点）,表示用単位,XML用単位（UCUM単位コード）,author要素で表現される診断者または記述者の項目コード,一連検査グループ識別,一連検査グループ関係コード,同一性項目コード,同一性項目名称,XML検査方法コード,検査方法,結果コードOID,項目コードOID,XML化にあたっての備考
10,身体計測,10,9N001000000000001,身長,数字,PQ,5,NNN.N,cm,cm,,,,9N001,身長,,,,1.2.392.200119.6.1005,
10,身体計測,20,9N006000000000001,体重,数字,PQ,5,NNN.N,kg,kg,,,,9N006,体重,,,,1.2.392.200119.6.1005,
10,身体計測,30,9N011000000000001,BMI,数字,PQ,4,NN.N,kg/m2,kg/m2,,,,9N011,ＢＭＩ,,,,1.2.392.200119.6.1005,
10,身体計測,40,9N021000000000001,内臓脂肪面積,数字,PQ,5,NNN.N,cm2,cm2,,,,9N021,内臓脂肪面積,,,,1.2.392.200119.6.1005,
10,身体計測,50,9N016160100000001,腹囲(実測）,数字,PQ,5,NNN.N,cm,cm,,,,9N016,腹囲,9N01610000,1：実測,,1.2.392.200119.6.1005,
10,身体計測,60,9N016160200000001,腹囲(自己判定）,数字,PQ,5,NNN.N,cm,cm,,,,9N016,腹囲,9N01620000,2：自己測定,,1.2.392.200119.6.1005,
10,身体計測,70,9N016160300000001,腹囲(自己申告）,数字,PQ,5,NNN.N,cm,cm,,,,9N016,腹囲,9N01630000,3：自己申告,,1.2.392.200119.6.1005,
10,身体計測,80,9N026000000000002,肥満度,数字,PQ,5,NNN.N,%,%,,,,9N026,肥満度,,,,1.2.392.200119.6.1005,
20,診察,90,9N051000000000049,業務歴,文字列,ST,256,,,,,,,9N051,業務歴,,,,1.2.392.200119.6.1005,
20,診察,100,9N056000000000011,既往歴,コード,CD,1,N,,,,,,9N056,既往歴,,,1.2.392.200119.6.2001,1.2.392.200119.6.1005,
20,診察,110,9N056160400000049,具体的な既往歴,文字列,ST,256,,,,,,,9N056,既往歴,,,,1.2.392.200119.6.1005,
20,診察,120,9N061000000000011,自覚症状,コード,CD,1,N,,,,,,9N061,自覚症状,,,1.2.392.200119.6.2001,1.2.392.200119.6.1005,
20,診察,130,9N061160800000049,自覚症状所見,文字列,ST,256,,,,,,,9N061,自覚症状,,,,1.2.392.200119.6.1005,
20,診察,140,9N066000000000011,他覚症状,コード,CD,1,N,,,,,,9N066,他覚症状,,,1.2.392.200119.6.2001,1.2.392.200119.6.1005,
20,診察,150,9N066160800000049,他覚所見,文字列,ST,256,,,,,,,9N066,他覚症状,,,,1.2.392.200119.6.1005,
20,診察,160,9N071000000000049,その他(家族歴等),文字列,ST,256,,,,,,,9N071,その他（家族歴等）,,,,1.2.392.200119.6.1005,
20,診察,170,9N076000000000049,視診(口腔内含む),文字列,ST,256,,,,,,,9N076,視診（口腔内含む）,,,,1.2.392.200119.6.1005,
20,診察,180,9N081000000000049,打聴診,文字列,ST,256,,,,,,,9N081,打聴診,,,,1.2.392.200119.6.1005,
20,診察,190,9N086000000000049,触診(関節可動域含む),文字列,ST,256,,,,,,,9N086,触診（関節可動域含む）,,,,1.2.392.200119.6.1005,
20,診察,200,9N091000000000001,反復唾液嚥下テスト,数字,PQ,1,N,回,{times},,,,9N091,反復唾液嚥下テスト,,,,1.2.392.200119.6.1005,
30,血圧等,210,9A755000000000001,収縮期血圧(その他),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9A750,収縮期血圧,9A75500009,3：その他,,1.2.392.200119.6.1005,
30,血圧等,220,9A752000000000001,収縮期血圧(2回目),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9A750,収縮期血圧,9A75200000,2：2回目,,1.2.392.200119.6.1005,
30,血圧等,230,9A751000000000001,収縮期血圧(1回目),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9A750,収縮期血圧,9A75100000,1：1回目,,1.2.392.200119.6.1005,
30,血圧等,240,9A765000000000001,拡張期血圧(その他),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9A760,拡張期血圧,9A76500009,3：その他,,1.2.392.200119.6.1005,
30,血圧等,250,9A762000000000001,拡張期血圧(2回目),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9A760,拡張期血圧,9A76200000,2：2回目,,1.2.392.200119.6.1005,
30,血圧等,260,9A761000000000001,拡張期血圧(1回目),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9A760,拡張期血圧,9A76100000,1：1回目,,1.2.392.200119.6.1005,
30,血圧等,270,9N121000000000001,心拍数,数字,PQ,3,NNN,拍／分,{h`b}/min,,,,9N121,心拍数,,,,1.2.392.200119.6.1005,
40,採血条件,280,9N141000000000011,採血時間(食後),コード,CD,1,N,,,,,,9N141,採血時間（食後）,,,1.2.392.200119.6.2202,1.2.392.200119.6.1005,
